departure,arrival,duration
"Glattbrugg, Lättenwiesen","Glattbrugg, Giebeleichstrasse",4
Glattbrugg,"Glattbrugg, Frohbühlstrasse",7
"Herrliberg, Bergstrasse","Herrliberg, Sportplatz",6
"Herrliberg, Busenhardstrasse","Herrliberg, Rebberg",9
"Herrliberg-Feldmeilen, Bahnhof","Herrliberg-Feldmeilen,Bhf West",4
Illnau,"Illnau, Weisslingerstrasse",7
Kilchberg ZH (See),"Kilchberg ZH, Lindt & Sprüngli",8
"Kilchberg ZH, Gottlieb-Binder","Kilchberg ZH, Breitloo",9
"Kilchberg ZH, Stockengut","Kilchberg ZH, Spital",10
"Kloten Balsberg, Bahnhof","Kloten, Balsberg Hardacher",7
"Küsnacht ZH, Zentrum",Küsnacht ZH (See),6
"Meilen, Alte Sonne","Meilen, Beugen",10
"Muri AG, Bachmatten-Schulhaus","Muri AG, Egg",10
Oberrieden (See),Oberrieden,6
"Oetwil am See, Eichholzstrasse","Oetwil am See, Willikon",8
Shopping Center,"Spreitenbach, Center Spreitenb",5
"Spreitenbach, Raiacker","Spreitenbach, ASP",7
"Spreitenbach, Shopping Center","Spreitenbach, Brüel",8
Urdorf,"Schlieren, Heimeliweg",10
"Uster, Haberweid","Uster, Loren",10
"Wettingen, Langenstein","Baden, Kantonsschule",7
"Wettingen, Schönenbühlstrasse",Zentrumsplatz,10
"Wettingen, Sonne","Wettingen, Halbartenstrasse",10
"Winterthur, Stadthaus",Gewerbeschule,7
"Wohlen AG, Cheiblerrain",Wohlen Oberdorf,9
"Wädenswil, Burstel","Horgen, Aamüli",10
"Wädenswil, Krähbach","Wädenswil, Gulmenmatt",7
"Wädenswil, Lätten","Wädenswil, Krähbach",5
"Zufikon, Volg","Zufikon, Emaus",8
"Zürich Oerlikon, Bahnhof Ost","Zürich, Felsenrainstrasse",8
Zürich Wiedikon,"Zürich,Kalkbreite/Bhf.Wiedikon",8
"Zürich, Bahnhofstrasse/HB",Zürich Landesmuseum (See),8
"Zürich, Buhnstrasse","Zürich, Hertensteinstrasse",7
"Zürich, Hallenbad Oerlikon","Zürich, Riedbach",10
"Zürich, Heubeeriweg","Zürich, Flobotstrasse",6
"Zürich, Im Hagacker","Zürich, Friesenberghalde",9
"Zürich, Lehenstrasse","Zürich, Waidspital",7
"Zürich, Rigiblick","Zürich, Schäppiweg",7
"Zürich, Sprecherstrasse","Zürich, Hottingerplatz",6
"Zürich, Staudenbühl","Zürich, Buhnstrasse",8
"Bachenbülach, Schmiede","Winkel, Scheidweg",9
Busgarage,"Wettingen, Sonne",8
"Bülach, Tiefengasse","Bülach, Berufswahlschule",9
Dietikon,"Dietikon, Bahnhof",1
"Embrach, Gemeindehaus","Embrach, Zürcherstrasse",8
"Esslingen, Loogarten","Esslingen, Bahnhof",9
Glatt (Bus),"Wallisellen, Florastrasse",7
"Glattbrugg, Zentrum","Opfikon, Bubenholz",10
"Herrliberg, Rain","Erlenbach ZH, Im Bindschädler",8
"Kilchberg ZH, Emilienheim","Kilchberg ZH, Mythenstrasse",8
"Kilchberg ZH, Kreuzstrasse","Kilchberg ZH, Sanatorium",5
Kilchberg ZH,"Kilchberg ZH, Bendlikon",7
"Kloten Balsberg, Bahnhof",Kloten Balsberg,4
"Kloten, Lindenstrasse","Kloten, Rankstrasse",7
"Oetwil am See, Eichholzstrasse","Oetwil am See, Holzhusen",4
"Oetwil am See, Zentrum","Oetwil am See, Zelgli",9
"Russikon, Gemeindehaus","Russikon, Tüfi",8
"Rümlang, Gemeindehaus","Rümlang, Chilestieg",10
"Schlieren, Zentrum/Bahnhof","Schlieren, Wagonsfabrik",9
"Spreitenbach, Brüel","Spreitenbach, Dorf",9
"Thalwil, Mühlebachplatz","Thalwil, Trotte",2
"Urdorf, Spitzacker","Urdorf, Neumatt",7
"Volketswil, Zentrum","Volketswil, Gries",8
Waldburg,"Waldburg, Station",1
"Winterthur, Neubruch","Winterthur, Ziegeleiweg",8
"Winterthur, Rosenau",Winterthur Töss,8
"Winterthur, Steigmühle","Winterthur, Bolrebenweg",10
"Winterthur, Ziegeleiweg","Winterthur, Steigmühle",10
"Wohlen AG, Haldenschulen","Wohlen AG, Kapellmatt",9
Zürich Bürkliplatz (See),"Zürich, Stockerstrasse",10
"Zürich Wollishofen, Bahnhof","Zürich Wollishofen, Bhf/Werft",2
"Zürich, Am Börtli","Zürich, Im Wingert",5
"Zürich, Bändliweg","Zürich, Grünaustrasse",7
"Zürich, Fronwald",Zürich Affoltern,4
"Zürich, Hügelstrasse","Zürich, Brunaustrasse",10
"Zürich, Im Wingert","Zürich, Appenzellerstrasse",6
"Zürich, Kantonalbank","Zürich, Rathaus",10
"Zürich, Klusplatz","Zürich, Hölderlinstrasse",8
"Zürich, Lägernstrasse","Zürich Wipkingen, Bahnhof",7
"Zürich, Neumarkt","Zürich, Kantonsschule",5
"Zürich, Schweighof","Zürich, Friesenberghalde",9
"Zürich, Solidapark","Zürich, Bristenstrasse",6
"Adliswil, Tobelhof","Adliswil, Rütistrasse/Wacht",8
"Breite b. N'dorf, W'thurerstr.","Breite b. Nürensdorf, Sternen",3
"Bremgarten AG, Zufikerstrasse",Bremgarten,6
"Dübendorf, Breitibach","Dübendorf, Wasserfurren",7
"Erlenbach ZH, Im Vogelsang","Erlenbach ZH, Sandfelsenstr.",7
"Herrliberg, Tennisplätze","Herrliberg, Schulhaus",7
"Horgen, Gehren","Horgen, Waidli",8
"Kilchberg ZH, Mythenstrasse","Kilchberg ZH, Schlimbergstr.",5
"Kilchberg ZH, Stockengut","Kilchberg ZH, Sanatorium",10
"Meilen, Eichholz","Meilen, Rebbergstrasse",10
Oberglatt,Oberglatt ZH,0
"Oberlunkhofen, Dorfplatz","Oberlunkhofen, Post",2
"Oetwil am See, Bergstrasse","Oetwil am See, Beichlen",7
"Opfikon, Aublick","Opfikon, Grossacker",6
"Rümlang, Bahnhof","Rümlang, Gemeindehaus",10
"Rümlang, Oberdorf","Rümlang, Heuelstrasse",3
"Thalwil, Ebnet","Thalwil, Schützenhaus",8
"Uetikon am See, Bahnhof",Uetikon,1
"Uster, Wildsbergstrasse","Uster, Krämeracker",10
"Wallisellen, Guggenbühlstrasse","Wallisellen, Friedhof",7
"Winterthur, Technikum","Winterthur, Stadthaus",7
"Wohlen AG, Cheiblerrain","Wohlen AG, Zürcherhof",4
"Zollikon, Schützenstrasse","Zollikon, Rebwiesstrasse",6
Zürich HB SZU,"Zürich, Stampfenbachplatz",9
Zürich Polyterrasse,"Zürich, Haldenbach",9
"Zürich Wiedikon, Bahnhof","Zürich, Kernstrasse",7
"Zürich, Althoos","Zürich, Mötteliweg",9
"Zürich, Brunaustrasse","Zürich, Brunau/Mutschellenstr.",8
"Zürich, Feldeggstrasse","Zürich, Kreuzstrasse",7
"Zürich, Rathaus","Zürich, Kantonalbank",10
"Zürich, Rudolf-Brun-Brücke","Zürich, Bahnhofplatz/HB",10
"Zürich, Sonneggstrasse","Zürich, Haldenbach",10
"Adliswil, Dietlimoos","Kilchberg ZH, Spital",6
"Bachenbülach, Schmiede","Bachenbülach, alte Post",10
"Bremgarten AG, Zufikerstrasse","Zufikon, Bachhalde",10
Bremgarten Obertor,"Bremgarten AG, Obertorplatz",1
"Bülach, Bahnhof","Bülach, Kreuzstrasse",10
Dietikon Stoffelbach,Bergfrieden,10
"Dietikon, Birmensdorferstrasse","Dietikon, Hofacker",9
"Dietikon, Moosmatt","Dietikon, Silbern",4
"Dietlikon, Mäenriet","Dietlikon, Hörnligraben",6
"Erlenbach ZH, Rankstrasse","Erlenbach ZH, Im Loo",9
"Fislisbach, Monopol","Fislisbach, Dorfstrasse",10
"Fislisbach, Niederrohrdorferst","Fislisbach, Post",8
"Glattbrugg, Oberhusen","Opfikon, Austrasse",10
"Glattbrugg, Oberhusen","Opfikon, Neuwiesen",8
"Greifensee, Pfisterhölzli","Greifensee, Im Langacher",9
"Gutenswil, Sternen","Gutenswil, Unterdorf",7
"Herrliberg, Busenhardstrasse","Herrliberg, Pfarrgasse",9
"Herrliberg, Gartenstrasse","Herrliberg, Pfarrgasse",7
"Höri, Fuhrstrasse","Höri, Gemeindehaus",9
Kilchberg,"Kilchberg ZH, Schlimbergstr.",8
Neuenhof,"Neuenhof, Posthorn",10
Oberglatt,"Oberglatt ZH, Bahnhof",1
"Oberrieden Dorf, Bahnhof","Oberrieden, Bahnhof",7
"Obfelden, Unterlunnern","Obfelden, Gessnerstrasse",8
Rathaus,Bahnhofstrasse,6
"Regensdorf, Feldblumenstrasse","Regensdorf, Altersheim",6
"Rümlang, Riedmattstrasse","Rümlang, Riedmatt",3
"Schlieren, Geissweid","Schlieren, Brunngasse",7
"Thalwil, Sonnenberg","Thalwil, Seehaldenstrasse",10
"Thalwil, Trotte","Thalwil, Zehntenstrasse",8
"Uetikon am See, Gemeindehaus","Uetikon am See, Bahnhof",8
"Urdorf, Niederurdorf","Urdorf, Neumattstrasse",10
"Volketswil, Huzlenstrasse","Volketswil, Eichstrasse",5
"Wallisellen, Blumenweg","Wallisellen, Rosenberg",10
"Wallisellen, Riedenerstrasse","Wallisellen, Blumenweg",6
"Wettingen, Jurastrasse","Wettingen, Sonne",6
"Wettswil a.A., Eggächer","Wettswil a.A., Heissächerstr.",5
"Winterthur Wülflingen, Bahnhof","Winterthur, Niederfeld",8
"Winterthur, Bolrebenweg","Winterthur, Steigmühle",10
"Winterthur, Grafenstein","Winterthur, Schlossberg",7
"Winterthur, Schmidgasse","Winterthur, Technikum",6
"Wohlen AG, Schulen Junkholz","Wohlen AG, Riedmatt",3
"Würenlos, Raiffeisenbank","Würenlos, Spycher",7
Zentrumsplatz,"Wettingen, Rebstock",5
"Zollikerberg, Trichtenhauserm.","Zürich, Trichtenhausenfussweg",10
"Zürich, Binz Center","Zürich, Friesenbergstrasse",9
"Zürich, Fronwald","Zürich, Zehntenhausplatz",9
"Zürich, Fröhlichstrasse","Zürich, Chinagarten",7
"Zürich, Haldenegg",Zürich HB SZU,10
"Zürich, Kienastenwies","Zürich, Wiesliacher",7
"Zürich, Rudolf-Brun-Brücke",Zürich Storchen,7
"Zürich, Seilbahn Rigiblick","Zürich, Rigiblick",9
"Zürich, Strickhof","Zürich, Universität Irchel",8
"Zürich, Thujastrasse",Zimmerberg-Basistunnel,10
"Zürich, Triemli","Zürich, In der Ey",7
"Zürich, Wildbachstrasse",Zürichhorn (See),9
"Zürich, Zwielplatz","Zürich, Winzerhalde",6
"Benglen, Bodenacher","Benglen, Gerlisbrunnen",9
"Bremgarten AG, Zufikerstrasse","Bremgarten AG, Badenerstrasse",10
"Bülach, Spital","Bülach, Berufswahlschule",6
"Dielsdorf, Bahnhof","Dielsdorf, Wehntalerstrasse",9
"Dielsdorf, Wehntalerstrasse",Dielsdorf,10
"Dietikon, Bahnhofstrasse","Dietikon, Sommerau",5
"Ehrendingen, Post","Ehrendingen, Breitwies",8
"Erlenbach ZH, Trottgatter","Erlenbach ZH, Chapf",7
"Erlenbach ZH,Kirchgemeindehaus",Erlenbach ZH,8
"Fehraltorf, Sennerei","Fehraltorf, Am Wildbach",8
Gewerbeschule,"Winterthur, Fotozentrum",9
"Horgen, Glärnischhof","Horgen, Waidli",7
"Küsnacht ZH, Ob. Heslibachstr.","Küsnacht ZH, Bergstrasse",9
"Langnau a.A.,Schwerzi-Wildpark","Langnau am Albis, Hehlstrasse",10
"Meilen, Beugen","Meilen, Schulhaus Obermeilen",9
"Oberglatt ZH, Bälen","Oberglatt ZH, Zentrum",10
"Oberweningen, Im Hüebli","Oberweningen, Hüeblistrasse",4
"Spreitenbach, IKEA","Spreitenbach, Center Spreitenb",6
"Thalwil, Alterszentrum","Thalwil, Mettli",9
"Uster, Reithalle","Uster, Spital",8
"Uster, Wil","Uster, Bildungszentrum",7
"Wettingen, Zirkuswiese",Busgarage,7
"Winterthur, Klinik Schlosstal","Winterthur, Ausserdorf",7
"Wädenswil, Chotten","Wädenswil, Mugern",9
"Wädenswil, Weinrebe","Wädenswil, Glärnisch",8
Zürich Flughafen,"Zürich Flughafen, Carterminal",3
"Zürich, Albisrieden","Zürich, Albisriederdörfli",3
"Zürich, Ausserdorfstrasse","Zürich, Hertensteinstrasse",9
"Zürich, Bahnhofquai/HB","Zürich, Bahnhofplatz/HB",4
"Zürich, Bezirksgebäude","Zürich, Stauffacher",6
"Zürich, Bus Station","Zürich, Bahnhofplatz/HB",10
"Zürich, Central",Zürich HB SZU,8
"Zürich, Helmhaus","Zürich, Rennweg",10
"Zürich, Kinkelstrasse","Zürich, Goldauerstrasse",9
"Zürich, Leutschenbach","Zürich, Leutschenpark",8
"Zürich, Rudolf-Brun-Brücke","Zürich, Bahnhofstrasse/HB",8
"Zürich, Stauffacher","Zürich, Kernstrasse",8
"Zürich, Vogelsangstrasse","Zürich, Haldenbach",8
"Adliswil, Rütistrasse/Wacht","Adliswil, Rifertstrasse",7
"Bellikon, Rehaklinik","Bellikon, Dorf",3
"Dietikon, Staffelackerstrasse","Dietikon, Oberdorf",9
"Dietikon, Stelzenacker","Dietikon, Oetwilerstrasse",10
"Dietlikon, Bahnhof","Dietlikon, Bahnhof/Bad",6
"Dübendorf, Lindenplatz",Dübendorf,6
"Dübendorf, Stadthaus",Dübendorf,9
"Erlenbach ZH, Bahnhof",Erlenbach ZH (See),7
"Erlenbach ZH, Schulhaus","Erlenbach ZH, Im Vogelsang",8
Glanzenberg,"Dietikon, Schönenwerd",8
"Herrliberg, Alterssiedlung","Herrliberg, Humrigen",10
"Herrliberg, Humrigen","Herrliberg, Rietli",10
"Horgen, Gumelenstrasse",Horgen Oberdorf,6
"Kilchberg ZH, Obere Hornhalde","Kilchberg ZH, Bächlerstrasse",7
"Kilchberg ZH,Schulhaus Dorfstr","Kilchberg ZH, Bahnhof",6
"Küsnacht ZH, Schiedhaldensteig","Küsnacht ZH, Oberwacht",6
"Meilen, Parkresidenz",Meilen (See),7
"Muri AG, Egg","Muri AG, Grindelstrasse",8
"Muri AG, Luzernstrasse","Muri AG, Dorf",8
Muri AG,"Muri AG, Marktstrasse",6
"Regensdorf, Obstgarten","Regensdorf, Chrüzächer",7
"Regensdorf, Zentrum","Regensdorf, Obstgarten",7
"Stäfa, Lattenberg","Stäfa, Kniebreche",8
"Thalwil, Schützenhaus","Thalwil, Böni",8
"Uitikon Waldegg, Bahnhof","Waldegg, Birmensdorferstrasse",6
"Unterengstringen, Eckstein","Unterengstringen, Sennenbüel",6
"Uster, Bildungszentrum","Uster, Jugendhaus",8
"Volketswil, Zentrum","Volketswil, Huzlenstrasse",10
"Wallisellen, Rosenberg","Wallisellen, Blumenweg",10
"Wallisellen, Säntisstrasse","Wallisellen, Schulhaus Bürgli",6
"Wettswil a.A., Strumbergächer","Wettswil a.A., Langächer",6
"Wädenswil, Weinrebe","Wädenswil, Schwanen",6
"Würenlos, Altwiesen","Würenlos, Steigass",5
Zentrumsplatz,"Wettingen, Staffelstrasse",7
Zürich HB,Zürich Landesmuseum (See),3
Zürich Wiedikon,"Zürich, Stauffacher",10
"Zürich, Albisrank","Zürich, Flurstrasse",6
"Zürich, Feldeggstrasse","Zürich, Elektrowatt",8
"Zürich, Feusisbergli","Zürich, Hermetschloo",6
"Zürich, Friesenberg",Zürich Friesenberg,2
"Zürich, Museum für Gestaltung","Zürich, Bus Station",5
"Zürich, Nürenbergstrasse","Zürich, Laubiweg",8
"Zürich, Solidapark","Zürich Altstetten, Bahnhof",8
"Zürich, Strassenverkehrsamt","Zürich, Hegianwandweg",9
"Zürich, Waidbadstrasse","Zürich, Appenzellerstrasse",7
"Affoltern a.A., Stigeli","Affoltern a.A., Weinberg",5
Dietikon Stoffelbach,"Bergdietikon, Dünni",10
"Dübendorf, Grüzenstrasse","Dübendorf, Kreuzbühl",9
"Gossau ZH, Moos","Gossau ZH, Oberstufe/Altrüti",8
"Grafstal, Unterdorf","Grafstal, Engelacher",7
"Herrliberg, Grundhofstrasse","Herrliberg, Humrigen",6
Horgen (See),"Horgen, Dorfgasse",6
"Horgen, Gumelenstrasse","Horgen, Schinzenhof",9
"Horgen, Gumelenstrasse","Horgen, Spital",7
"Horgen, Panorama/CS","Horgen, Stocker",8
"Lindau, Nürensdorferstrasse","Lindau, Dorf",2
"Niederweningen, Bahnhof",Bahnhof,0
"Oberglatt ZH, Bahnhof",Oberglatt,1
"Opfikon, Vreniker","Opfikon, Neuwiesen",8
"Rottenschwil, Kapelle","Rottenschwil, Seematten",6
"Russikon, Gemeindehaus","Russikon, Dorf",2
"Scheuren, Station",Scheuren,1
"Thalwil, Bahnhof","Thalwil, In Reben",10
"Thalwil, Zentrum","Thalwil, Bahnhof",3
"Uster, Haberweid","Uster, Gschwader",9
"Waldegg, Katholische Kirche","Uitikon Waldegg, Bahnhof",5
"Wallisellen, Rosenberg","Wallisellen, Glatt (Tram)",7
"Wallisellen, Spitzacker","Wallisellen, Ifang",3
"Wallisellen, Zielacker","Wallisellen, Säntisstrasse",8
"Wettingen, Tägipark","Wettingen, Hardstrasse",9
"Winterthur, Langwiesen","Winterthur, Wülflingen",5
"Wohlen AG, Turmstrasse","Wohlen AG, Junkholzweg",9
Wohlen Oberdorf,"Wohlen AG, Stegmatt",8
"Würenlos, Spycher","Würenlos, Brunnenweg",6
Zürich Bürkliplatz (See),"Zürich, Bellevue",7
"Zürich, Botanischer Garten","Zürich, Höschgasse",7
"Zürich, Chinagarten","Zürich, Elektrowatt",8
"Zürich, Dunkelhölzli","Zürich, Rautihalde",9
"Zürich, Feusisbergli","Zürich, Loogarten",8
"Zürich, Fröhlichstrasse","Zürich, Botanischer Garten",10
"Zürich, Herzogenmühlestrasse","Zürich, Heerenwiesen",9
"Zürich, Leutschenpark","Zürich, Leutschenbach",8
"Zürich, Pflegezentr. Käferberg","Zürich, Waidspital",7
"Zürich, Post Wollishofen",Zürich Wollishofen,7
"Zürich, Saalsporthalle",Zürich Saalsporthalle,3
"Zürich, Voltastrasse","Zürich, Toblerplatz",9
"Zürich, Waffenplatzstrasse",Zürich Saalsporthalle,10
"Bassersdorf, Dietlikonerstr.","Bassersdorf, Schmitte",3
"Bülach, Hohfuri","Bülach, Soligänter",7
"Dietikon, Oberdorf","Dietikon, Hätschen",4
"Dietikon, Weidstrasse","Dietikon, Hätschen",9
"Dübendorf, Schwimmbad","Dübendorf, Lindenplatz",7
"Dübendorf, Unterdorf","Dübendorf, Im Grund",7
"Fällanden, Zil","Fällanden, Schützenhaus",10
"Geroldswil, Welbrig","Geroldswil, Grindlen",6
Herrliberg (See),Herrliberg-Feldmeilen,6
"Herrliberg, Pfarrgasse","Herrliberg, Alterssiedlung",10
"Herrliberg, Sportplatz","Herrliberg, Rebberg",10
"Horgen, Spital","Horgen, Gumelenstrasse",7
Horgen,"Horgen, Wannerstrasse",10
"Kilchberg ZH, Obere Hornhalde","Zürich, Neubühl",6
"Kilchberg ZH,Schulhaus Dorfstr","Kilchberg ZH, Kreuzstrasse",9
Kollbrunn,"Kollbrunn, Bahnhof",1
"Oberrieden, Tannenbach","Oberrieden, Seehalde",10
"Oberrohrdorf, Brüggliacher","Oberrohrdorf, Post",9
"Oetwil an der Limmat, Oberdorf","Oetwil an der Limmat, Post",6
"Pfaffhausen, Pfaffenstein","Pfaffhausen, Sängglen",7
"Pfäffikon ZH, Güchweg","Pfäffikon ZH, Rainstrasse",6
"Regensdorf, Althard","Regensdorf, Gemeindehaus",9
"Regensdorf, Pumpwerkstrasse","Adlikon b. R., Dorf",8
"Regensdorf-Watt, Bahnhof",Regensdorf-Watt,2
"Schlieren, Kampstrasse","Schlieren, Zentrum/Bahnhof",10
"Schöfflisdorf, Gemeindehaus","Schöfflisdorf-Oberwen, Bahnhof",8
"Spreitenbach, Brüel","Spreitenbach, Altersheim",6
"Thalwil, In Reben","Thalwil, Bahnhof",10
"Uetikon am See, Stötzli","Uetikon am See, Forbüelstrasse",6
"Uetikon am See, Tramstrasse","Uetikon am See, Kleindorf",9
"Uster, Koppach","Uster, Nossikon",10
"Uster, Stadthaus","Uster, Burgreben",10
"Uster, Talacker","Uster, Burgreben",2
"Wettingen, Zentrumsplatz","Wettingen, Staffelstrasse",7
"Winterthur, Obertor","Winterthur, Stadthaus",4
"Wohlen AG, obere Haldenstrasse","Wohlen AG, Rigistrasse",7
"Wädenswil, Mühlebach","Wädenswil, Schmiedstube",10
"Zürich, Bernoulli-Häuser","Zürich, Toni-Areal",9
"Zürich, Berufswahlschule","Zürich, Bad Allenmoos",8
"Zürich, Friedhof Sihlfeld","Zürich, Altes Krematorium",7
"Zürich, Germaniastrasse","Zürich, Kinkelstrasse",10
"Zürich, Grimselstrasse","Zürich, Letzibach",9
"Zürich, Hermetschloo","Zürich, Micafil",3
"Zürich, Sternen Oerlikon","Zürich, Salersteig",10
"Zürich, Waidfussweg","Zürich, Pflegezentr. Käferberg",10
"Zürich, Zwielplatz","Zürich, Tüffenwies",10
"Bassersdorf, Schmitte","Bassersdorf, Dietlikonerstr.",3
"Bergdietikon, Bergli","Bergdietikon, Dünni",10
"Bülach, Bahnhof Ost","Bülach, Güterbahnhof",3
"Bülach, Hinterbirch","Bülach, Berufswahlschule",10
"Dietikon, Dörfli",Dietikon Schöneggstrasse,10
"Dietikon, Gyrhalden","Dietikon, Oberdorf",8
"Dietlikon, In Lampitzäckern",Dietlikon,10
"Dietlikon, Lettenstrasse","Dietlikon, Hinentalstrasse",6
"Dübendorf, EMPA","Dübendorf, Im Grund",10
"Dübendorf, Flugplatz","Dübendorf, Bahnhof",9
"Dübendorf, Lindenbühl","Dübendorf, Heidenrietstrasse",10
"Gattikon, Obstgarten","Gattikon, Gattikerhof",9
"Geroldswil, Zentrum","Geroldswil, Dorfstrasse",7
Glattbrugg,"Glattbrugg, Bahnhof",1
"Horgen, Plattenhof","Horgen, Spital",6
"Illnau, Kirche","Illnau, Steinacher",9
"Kilchberg ZH, Paradiessteig","Kilchberg ZH, Hornhaldenstr.",6
"Kilchberg ZH, Sanatorium","Kilchberg ZH, Schlimbergstr.",6
"Kloten, Breitistrasse/Bahnhof","Kloten, Stadthaus",9
"Kloten, Egetswil","Kloten, Chanzler",7
"Kloten, Oberfeld","Kloten, Rankstrasse",10
"Langnau am Albis, Altersheim","Langnau am Albis, Langmoos",7
"Meilen, Allmend",Meilen,7
"Männedorf, Büelen","Uetikon am See, Kleindorf",8
Oberrieden Dorf,"Oberrieden, Hubstrasse",8
"Regensdorf, Chrüzächer","Regensdorf, Obstgarten",7
"Schlieren, Meuchwis","Schlieren, Reitmen",8
"Schlieren, Reitmen","Schlieren, Kesslerstrasse",9
Stettbach,"Dübendorf, Hochbord Süd",8
"Thalwil, Gewerbestrasse","Thalwil, Alterszentrum",8
"Uetikon am See, Oergelacher","Uetikon am See, Grossdorf",10
"Uster, Linde","Uster, Koppach",6
"Winterthur, Autobahn","Winterthur, Lindenplatz",9
"Winterthur, Tössfeld","Winterthur, Storchenbrücke",6
Wädenswil,"Wädenswil, Coop",4
"Zollikon, Felbenstrasse","Zürich, Bleulerstrasse",10
Zufikon Hammergut,"Bremgarten AG, Bibenlos",9
"Zürich Altstetten, Bahnhof N","Zürich, Würzgraben",8
"Zürich Flughafen, OPC","Zürich Flughafen, Bahnhof",7
Zürich Oerlikon,"Zürich Oerlikon, Bahnhof Nord",2
"Zürich Selnau, Bahnhof","Zürich, Stockerstrasse",9
Zürich Stadelhofen,Zürich Bellevue (See),7
Zürich Stadelhofen,"Zürich Stadelhofen, Bahnhof",1
Zürich Tiefenbrunnen,"Zürich, Wonnebergstrasse",9
"Zürich, Feldeggstrasse","Zürich, Höschgasse",7
"Zürich, Hermetschloo","Zürich, Juchhof",10
"Zürich, Höfliweg","Zürich, Talwiesenstrasse",6
"Zürich, In der Ey","Zürich, Sädlenweg",8
"Zürich, Kappeli","Zürich, Freihofstrasse",8
"Zürich, Kernstrasse","Zürich, Bezirksgebäude",3
"Zürich, Klosbach","Zürich, Hölderlinstrasse",10
"Zürich, Leutschenpark","Zürich, Oerlikerhus",3
"Zürich, Löwenplatz","Zürich, Sihlstrasse",10
"Zürich, Manesseplatz","Zürich, Hertersteg",6
"Zürich, Marbachweg","Zürich, Im Hüsli",7
"Zürich, Mühlacker","Zürich, Aspholz",8
"Zürich, Platte","Zürich, ETH/Universitätsspital",9
"Zürich, Singlistrasse","Zürich, Kappenbühlweg",9
"Zürich, Sädlenweg","Zürich, Goldackerweg",10
"Zürich, Tunnelstrasse","Zürich, Kantonsschule Enge",9
"Zürich, Zwinglihaus","Zürich, Lochergut",10
"Adliswil, Krone","Adliswil, Bahnhof",6
Bremgarten West,Bremgarten Isenlauf,7
"Buchs ZH, Petermoos","Buchs ZH, Furttalstrasse",10
"Dietikon, Bahnhofstrasse",Dietikon Schöneggstrasse,7
"Dübendorf, Bauhof","Dübendorf, Schossacher",9
"Dübendorf, City Center","Dübendorf, Lindenplatz",7
"Dübendorf, Sonnenberg","Dübendorf, Claridenstrasse",9
"Geroldswil, Dorfstrasse","Geroldswil, Zentrum",7
"Glattbrugg, Zentrum","Opfikon, Schwimmbad",9
"Grüningen, Freihof","Grüningen, Adler",6
"Kilchberg ZH, Altersheim","Kilchberg ZH, Auf Brunnen",8
"Kilchberg ZH, Schwelle","Kilchberg ZH, Stockengut",10
"Kloten, Geissbergstrasse","Kloten, Lindenstrasse",9
"Mönchaltorf, Mönchhof","Mönchaltorf, Traube",7
"Oberrohrdorf, Im Feld","Oberrohrdorf, Post",9
"Oberwil-Lieli, Bündtenmättli","Oberwil-Lieli, Dreispitz",8
"Opfikon, Grätzli","Opfikon, Fernsicht",4
"Regensdorf-Watt, Bahnhof","Regensdorf, Altersheim",10
"Schlieren, Geissweid","Schlieren, Bahnhof",8
"Thalwil, Platte","Thalwil, Zehntenstrasse",4
"Uetikon am See, Forbüelstrasse","Uetikon am See, Stötzli",6
"Waldburg, Station","Zollikon, Rebwiesstrasse",7
"Wallisellen, Haldenstrasse","Wallisellen, Friedhof",5
"Wallisellen, Hallenbad","Wallisellen, Gemeindehaus",5
Werft,"Zürich Flughafen, Werft",0
"Wettswil a.A., Bäumlisächer","Wettswil a.A., Heissächerstr.",7
"Wettswil a.A., Chilenholzstr.","Wettswil a.A., Schürli",3
"Winterthur, Freizeitanlage","Winterthur, Steigmühle",6
"Winterthur, Steig","Winterthur, Freizeitanlage",7
Wohlen Oberdorf,"Wohlen AG, Cheiblerrain",9
"Wädenswil, Hallenbad/Frohmatt","Wädenswil, Gulmenmatt",6
"Wädenswil, Sonnenrainstrasse","Wädenswil, Ceder",2
"Würenlos, Lärchenweg","Würenlos, Post",10
Zollikon,"Zollikon, Beugi",9
"Zürich Altstetten, Bahnhof N","Zürich, Solidapark",10
Zürich Limmatquai,"Zürich, Bahnhofstrasse/HB",9
"Zürich, Hertensteinstrasse","Zürich, Ausserdorfstrasse",9
"Zürich, Kinkelstrasse","Zürich, Letzistrasse",5
"Zürich, Lehenstrasse","Zürich, Rebbergsteig",9
"Zürich, Maillartstrasse","Zürich, Bollingerweg",10
"Zürich, Rudolf-Brun-Brücke","Zürich, Rennweg",8
"Zürich, Sonneggstrasse","Zürich, Winkelriedstrasse",7
"Zürich, Spyriplatz","Zürich, Goldauerstrasse",10
"Zürich, Strassenverkehrsamt","Zürich, Albisgütli",7
"Zürich, Talwiesenstrasse","Zürich, Heuried",6
"Zürich, Wartau","Zürich, Hohenklingensteig",4
"Zürich, Waserstrasse","Zürich, Buchholz",10
"Zürich, Winzerhalde","Zürich, Tüffenwies",5
"Adliswil, Badstrasse","Adliswil, Grundstrasse",6
"Bülach, Berglistrasse","Bülach, Untere Frohalde",9
"Bülach, Stubenchlaus","Bülach, Obere Frohalde",10
"Dietlikon, Hofwiesen","Dietlikon, Klimmweg",10
